ticker,sector,industry,market_cap
DNTH,Healthcare,Biotechnology,5871711232
DOCN,Technology,Software - Infrastructure,13626294272
DOCS,Healthcare,Health Information Services,4698564096
DOCU,Technology,Software - Application,13714900992
DOMO,Technology,Software - Application,185087280
DOV,Industrials,Specialty Industrial Machinery,25451868160
DOW,Basic Materials,Chemicals,21500471296
DOX,Technology,Software - Infrastructure,6609469440
DPC,Industrials,Aerospace & Defense,5923433472
DPZ,Consumer Cyclical,Restaurants,10357892096
DRI,Consumer Cyclical,Restaurants,23885213696
DT,Technology,Software - Application,15949528064
DTE,Utilities,Utilities - Regulated Electric,27036880896
DUK,Utilities,Utilities - Regulated Electric,91903500288
DUOL,Technology,Software - Application,7131542016
DVA,Healthcare,Medical Care Facilities,12126466048
DVN,Energy,Oil & Gas E&P,56490500096
DXC,Technology,Information Technology Services,1940512256
DXCM,Healthcare,Medical Devices,32798312448
EAF,Industrials,Electrical Equipment & Parts,182775616
EAT,Consumer Cyclical,Restaurants,8449061376
EBAY,Consumer Cyclical,Internet Retail,48153448448
ECHO,Communication Services,Telecom Services,26850058240
ECL,Basic Materials,Specialty Chemicals,76835266560
ED,Utilities,Utilities - Regulated Electric,38954049536
EEFT,Technology,Software - Infrastructure,2659208704
EFX,Industrials,Consulting Services,19926614016
EGHT,Technology,Software - Application,265039152
EHC,Healthcare,Medical Care Facilities,12042618880
EIX,Utilities,Utilities - Regulated Electric,21157072896
EL,Consumer Defensive,Household & Personal Products,35143303168
ELAN,Healthcare,Drug Manufacturers - Specialty & Generic,11482345472
ELF,Consumer Defensive,Household & Personal Products,5722595840
ELV,Healthcare,Healthcare Plans,90876911616
EMBJ,Industrials,Aerospace & Defense,13263102976
EME,Industrials,Engineering & Construction,32548696064
EMN,Basic Materials,Specialty Chemicals,7585571328
EMR,Industrials,Specialty Industrial Machinery,81767899136
ENOV,Healthcare,Medical Devices,1057081856
ENPH,Technology,Solar,4792146432
ENR,Industrials,Electrical Equipment & Parts,1405284352
ENS,Industrials,Electrical Equipment & Parts,6134153728
ENTG,Technology,Semiconductor Equipment & Materials,19386499072
EOG,Energy,Oil & Gas E&P,80499490816
EPAM,Technology,Information Technology Services,6482161664
EPC,Consumer Defensive,Household & Personal Products,1211677696
EPD,Energy,Oil & Gas Midstream,83701334016
EQH,Financial Services,Asset Management,14706167808
EQIX,Real Estate,REIT - Specialty,98466447360
EQNR,Energy,Oil & Gas Integrated,108658835456
EQPT,Industrials,Rental & Leasing Services,4477153280
EQT,Energy,Oil & Gas E&P,33427576832
ESI,Basic Materials,Specialty Chemicals,7694540800
ESNT,Financial Services,Insurance - Specialty,6057675776
ESS,Real Estate,REIT - Residential,18908981248
ESTC,Technology,Software - Application,9107993600
ET,Energy,Oil & Gas Midstream,73480011776
ETN,Industrials,Specialty Industrial Machinery,152163467264
ETOR,Financial Services,Capital Markets,2298332928
ETR,Utilities,Utilities - Regulated Electric,49137025024
ETSY,Consumer Cyclical,Internet Retail,6819383808
EVH,Healthcare,Health Information Services,442627296
EVR,Financial Services,Capital Markets,10362928128
EVRG,Utilities,Utilities - Regulated Electric,18461513728
