slug,name,manager,style_name,period,n_positions,hhi,top1_w,top10_w,turnover,new_frac,sold_frac,book_growth,crowding,excess_12,excess_36,vol_12,mdd_12,alpha36_t,p_persist,p_logistic,p_xgboost,rank_xgboost,rank_logistic,rank_persist
senator,Senator Investment Group,Doug Silverman,Event-driven / credit,2026-03-31,4.07753744390572,0.03207400967395481,0.06605903111154066,0.46013374861555334,0.40714967158509696,0.288135593220339,0.288135593220339,-0.13574050140728425,14.674773860015241,-0.07072429367843519,0.13873010685946063,0.15192720864599227,-0.09335555089110514,-0.13611203023224144,0.47761194029850745,0.47213659568719346,0.5087811350822449,31,43,36
cantillon,Cantillon Capital,William von Mueffling,Concentrated long / value,2026-03-31,3.6375861597263857,0.03665190661624733,0.08340807477280213,0.47981379339600894,0.0799096694767869,0.02631578947368421,0.0,-0.20598025059169084,14.076852474952824,-0.09613243628307427,-0.12369949141138803,0.1502048840774525,-0.08818709891905185,-0.5614047543530674,0.5522388059701493,0.5652176454867641,0.5077866315841675,32,22,31
farallon,Farallon Capital,Andrew Spokes,Event-driven / credit,2026-03-31,5.1298987149230735,0.03543108955523552,0.08623547689793712,0.4883669640896229,0.21222110870768673,0.28402366863905326,0.16551724137931034,-0.12154845074309474,11.710527507772067,-0.07168323220463002,-0.257674480634674,0.13818114094469203,-0.08605051699413624,-1.0210407095064105,0.4925373134328358,0.5048823347553256,0.507368803024292,33,39,35
berkshire-13f,Berkshire Hathaway (disclosed holdings),Warren Buffett,Concentrated long / value,2026-03-31,3.367295829986474,0.11850790882957683,0.21985634774005366,0.9072319437116683,0.10999418288484819,0.10344827586206896,0.38095238095238093,-0.04119433592233879,12.41931807717509,-0.06215476301501452,-0.3028504102813131,0.088409702460513,-0.017215295308804612,-0.40688802709742755,0.4626865671641791,0.44724796339820677,0.506920576095581,34,52,37
adage,Adage Capital,Phill Gross / Robert Atchinson,Long/short equity,2026-03-31,6.860663671448287,0.012526439500256434,0.05948177744554003,0.2841637623700569,0.1667407976210653,0.22327044025157233,0.18030973451327434,-0.019434081031757602,12.321111421109052,0.040626606807641685,0.1223109127191011,0.14569723947654922,-0.06332065173649826,1.6083102798408329,0.2835820895522388,0.4561326094310943,0.5048738718032837,35,49,49
icahn,Icahn Enterprises / Icahn Capital,Carl Icahn,Activist,2026-03-31,2.4849066497880004,0.32242994880825243,0.4849366700654354,0.98595427557847,0.09118399780662723,0.0,0.07692307692307693,0.01276259676057177,1.7623259778361378,-0.019276622219628725,-0.963430093389932,0.16768164413822098,-0.08736280191033119,-1.1855203346649594,0.3880597014925373,0.44322375398810177,0.49826139211654663,36,54,42
lansdowne,Lansdowne Partners,Peter Davies,Long/short equity,2026-03-31,3.091042453358316,0.11802215146826447,0.24185690413325187,0.9184329763214722,0.20477200640312887,0.09090909090909091,0.16666666666666666,0.3137590202515854,13.916247644123876,0.3531899351328463,0.7264928609986963,0.20256060174901738,-0.0755368509561305,0.4529099493406072,0.07462686567164178,0.6368586718532949,0.4958834946155548,37,11,63
fisher,Fisher Investments,Ken Fisher,Long-only asset manager,2026-03-31,6.922643891475888,0.01805840755515042,0.052374276975176874,0.33377442089119375,0.09812910742312109,0.11625615763546798,0.1171259842519685,0.006458249763554979,12.13170698782181,0.0026887192381581104,0.0507271041949271,0.10989112398049002,-0.046096027949802165,0.5076205681282301,0.34328358208955223,0.5377406126697846,0.489768385887146,38,29,45
abrams,Abrams Capital,David Abrams,Concentrated long / value,2026-03-31,2.3978952727983707,0.21230318232283876,0.39587407117456797,0.9996250214165638,0.035541629917112516,0.0,0.08333333333333333,-0.2015221629752846,9.421771518032896,-0.4093119231418075,-0.46709538999326994,0.20098173731398794,-0.21403353718308982,-0.37755745839359134,0.9552238805970149,0.46820443716057075,0.48955103754997253,39,46,4
gardner-russo,Gardner Russo & Quinn,Tom Russo,Concentrated long / value,2026-03-31,4.454347296253507,0.07523500614347532,0.12340513851736949,0.8029078415677169,0.1086371309735733,0.046511627906976744,0.05747126436781609,-0.08644409747219477,11.068498890540578,-0.26043071168571497,-0.42006487606960796,0.13396293320940222,-0.07846421050716457,-1.1610697632477638,0.8805970149253731,0.4537108345548086,0.481947124004364,40,50,9
