formation,managers,n_ALL,priced_ALL,n_BEST1,priced_BEST1,n_BEST3,priced_BEST3,n_CROWD_LO,priced_CROWD_LO,n_CROWD_HI,priced_CROWD_HI,turnover_ALL,turnover_BEST1,turnover_BEST3,turnover_CROWD_LO,turnover_CROWD_HI,n_NEW,priced_NEW,n_ADD,priced_ADD,n_CUT,priced_CUT,n_SOLD,priced_SOLD,turnover_NEW,turnover_ADD,turnover_CUT,turnover_SOLD
2021-02-28,79,1901,0.9875324675324675,54,0.9729729729729728,134,0.9819004524886876,379,0.9844155844155846,381,0.9896103896103898,0.15626571190897673,0.31671904874381984,0.27443413855608556,0.5496952422974568,0.2000817946458603,927.0,0.9882189882189882,684.0,0.9895833333333333,842.0,0.9898198903680501,791.0,0.9804964539007088,0.683266899481868,0.5721150633007459,0.5048817097474319,0.6751109405320439
2021-05-31,79,1943,0.9852941176470589,54,0.9864864864864864,136,0.9910714285714284,388,0.9822784810126581,390,0.9898477157360408,0.14455228284197066,0.343876453976026,0.2948137477748356,0.5470632103057592,0.20932676107575257,919.0,0.9852424455375965,719.0,0.9874031007751938,914.0,0.9903314917127071,921.0,0.9872180451127819,0.6972591509547743,0.5651133494957046,0.47869330637829555,0.6650045689986492
2021-08-31,79,2010,0.9857773418342327,51,0.9861111111111109,133,0.9908675799086757,405,0.992647058823529,402,0.9877149877149877,0.14733977537781703,0.2661033011100778,0.23834779111625287,0.5562644293762508,0.19940563550188417,887.0,0.982797307404637,774.0,0.9881602914389802,796.0,0.9893522626441882,877.0,0.9935587761674718,0.7283728952121944,0.5706724924097133,0.5086181560197638,0.6610398363307277
2021-11-30,79,2080,0.9834515366430256,56,0.9868421052631577,142,0.9909909909909909,417,0.9858156028368794,418,0.9881796690307327,0.14205244300121206,0.25939703122261676,0.2530274125634532,0.5090210491183029,0.21710927227675259,901.0,0.9832189168573606,816.0,0.986644407345576,773.0,0.9913793103448274,841.0,0.9867659222497934,0.7214593676770843,0.5526493132374295,0.5488936936816076,0.6993396581762703
2022-02-28,80,2132,0.9829414476717382,57,1.0,139,0.9823008849557522,426,0.9815668202764977,427,0.9861431870669745,0.16172114491964687,0.35323136436665437,0.29867024454976593,0.5570486220578554,0.256020474322109,890.0,0.9802058590657164,880.0,0.9844517184942716,832.0,0.9875104079933388,959.0,0.9835596854896353,0.742429885942868,0.5586334836624056,0.5623010649971862,0.6924164174545768
2022-05-31,80,2066,0.9810066476733147,57,0.986842105263158,148,0.9867256637168144,412,0.9763033175355451,415,0.9857482185273162,0.15536798681930586,0.32470743558983867,0.23953857716891452,0.5683208021938764,0.25368036982734277,840.0,0.9860869565217392,887.0,0.9882445141065832,749.0,0.9816602316602316,1045.0,0.9804941482444733,0.7230890904535774,0.5378713035803782,0.5768936977757398,0.6769428416525165
2022-08-31,78,2074,0.9801512287334596,57,0.9863013698630136,140,0.9861111111111112,416,0.981132075471698,418,0.9881796690307327,0.14663772887883975,0.2680429801669043,0.24239100109473827,0.5392764652694335,0.24207473619622286,839.0,0.9805555555555554,893.0,0.9873317498020585,699.0,0.9873551106427816,832.0,0.9840142095914741,0.724784627143017,0.5280900461693041,0.5844849520256262,0.6902115093044325
2022-11-30,79,2065,0.9791370317686108,60,0.986842105263158,146,0.9907407407407407,414,0.9810426540284362,416,0.9881235154394302,0.13806638000148325,0.3019875403729633,0.26144454362096115,0.548125524252953,0.18879792707119367,841.0,0.9873532068654022,848.0,0.9847878302642115,733.0,0.9936440677966103,747.0,0.9863157894736839,0.712539043339786,0.5448236009305294,0.5854592941715804,0.7457393259960293
2023-02-28,78,2107,0.9795443979544395,59,0.9866666666666666,152,0.9862385321100918,417,0.9675174013921113,424,0.986046511627907,0.13126330239092193,0.28443329514537186,0.22638763027661607,0.6155851438709279,0.19999420903631246,875.0,0.9857859531772574,860.0,0.9848357203032857,792.0,0.9873073436083408,774.0,0.9780534351145037,0.7027973222274082,0.553211832042448,0.573205847674713,0.7286629473762196
2023-05-31,78,2170,0.9814563545906831,57,0.9605263157894737,144,0.9816513761467891,429,0.9683972911963885,436,0.9864253393665157,0.13999086272125008,0.3202183573589398,0.23467026622451415,0.5247875734509347,0.21024364217611646,943.0,0.9841986455981938,947.0,0.9863429438543245,796.0,0.9914772727272726,798.0,0.9810785241248821,0.6848092331693796,0.533827027961314,0.555674479543216,0.7263651022204531
